Designator,Footprint,Quantity,Value,LCSC Part #
C2,CP_Radial_D8.0mm_P3.50mm,1,470 uf,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D9",D_DO-35_SOD27_P7.62mm_Horizontal,82,D,
J1,OLED_128x32,1,OLED_128x32,
"J2, J3",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Pin,
"LD1, LD10, LD11, LD12, LD13, LD14, LD15, LD16, LD17, LD18, LD19, LD2, LD20, LD21, LD22, LD23, LD24, LD25, LD26, LD27, LD28, LD29, LD3, LD30, LD31, LD32, LD33, LD34, LD35, LD36, LD37, LD38, LD39, LD4, LD40, LD41, LD42, LD43, LD44, LD45, LD46, LD47, LD48, LD49, LD5, LD50, LD51, LD52, LD53, LD54, LD55, LD56, LD57, LD58, LD59, LD6, LD60, LD61, LD7, LD8, LD9",LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,61,SK6812MINI-E,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,330,
"R2, R3, R6, R7",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,4,4.7K,
R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,820K,
R5,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,2M,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW29, SW3, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW44, SW46, SW47, SW48, SW49, SW5, SW50, SW51, SW52, SW53, SW54, SW55, SW56, SW57, SW58, SW6, SW60, SW61, SW62, SW63, SW64, SW65, SW66, SW67, SW68, SW69, SW7, SW70, SW72, SW73, SW78, SW79, SW8, SW80, SW81, SW82, SW9",Hotswap_MX_1.00u,72,SW_Push,
SW28,Hotswap_MX_2.00u,1,SW_Push,
"SW30, SW59, SW74, SW75, SW76",Hotswap_MX_1.25u,5,SW_Push,
SW43,Hotswap_MX_ISOEnter,1,SW_Push,
"SW45, SW71",Hotswap_MX_1.50u,2,SW_Push,
SW77,Hotswap_MX_6.25u,1,SW_Push,
SW85,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,RotaryEncoder_Switch,
"TP1, TP2",TestPoint_Pad_D2.5mm,2,TestPoint,
"TP3, TP4",TestPoint_Pad_D2.0mm,2,TestPoint,
U2,Nice_Nano_V2,1,Nice_Nano_V2,
U3,DIP-28_W7.62mm,1,MCP23017x-x-SP,
