Designator,Mid X,Mid Y,Rotation,Layer
C2,365.0,-192.097349,270.0,bottom
D1,66.5075,-93.0,90.0,bottom
D10,246.5075,-93.19,90.0,bottom
D11,265.5075,-93.19,90.0,bottom
D12,284.5075,-93.19,90.0,bottom
D13,304.5075,-93.0,90.0,bottom
D14,330.5075,-93.19,90.0,bottom
D15,65.5075,-114.19,90.0,bottom
D16,84.5075,-114.19,90.0,bottom
D17,104.5075,-114.19,90.0,bottom
D18,123.5075,-114.19,90.0,bottom
D19,142.5075,-114.19,90.0,bottom
D2,87.5075,-93.0,90.0,bottom
D20,161.5075,-114.19,90.0,bottom
D21,180.5075,-114.19,90.0,bottom
D22,199.5075,-114.19,90.0,bottom
D23,218.5075,-114.19,90.0,bottom
D24,237.5075,-114.19,90.0,bottom
D25,256.5075,-114.19,90.0,bottom
D26,275.5075,-114.19,90.0,bottom
D27,295.5075,-114.19,90.0,bottom
D28,331.5075,-114.19,90.0,bottom
D29,357.5075,-114.19,90.0,bottom
D3,106.5075,-93.19,90.0,bottom
D30,69.5075,-133.19,90.0,bottom
D31,90.5075,-133.19,90.0,bottom
D32,109.5075,-133.19,90.0,bottom
D33,128.5075,-133.19,90.0,bottom
D34,147.5075,-133.19,90.0,bottom
D35,166.5075,-133.19,90.0,bottom
D36,185.5075,-133.19,90.0,bottom
D37,204.5075,-133.19,90.0,bottom
D38,223.5075,-133.19,90.0,bottom
D39,242.5075,-133.19,90.0,bottom
D4,125.5075,-93.19,90.0,bottom
D40,261.5075,-133.19,90.0,bottom
D41,280.5075,-133.19,90.0,bottom
D42,300.5075,-133.19,90.0,bottom
D43,331.5075,-139.19,90.0,bottom
D44,357.5075,-133.19,90.0,bottom
D45,74.5075,-152.19,90.0,bottom
D46,95.5075,-152.19,90.0,bottom
D47,114.5075,-152.19,90.0,bottom
D48,133.5075,-152.19,90.0,bottom
D49,152.5075,-152.19,90.0,bottom
D5,145.5075,-93.19,90.0,bottom
D50,171.5075,-152.19,90.0,bottom
D51,190.5075,-152.0,90.0,bottom
D52,209.5075,-152.19,90.0,bottom
D53,228.5075,-152.19,90.0,bottom
D54,247.5075,-152.19,90.0,bottom
D55,266.5075,-152.19,90.0,bottom
D56,285.5075,-152.0,90.0,bottom
D57,305.5075,-152.0,90.0,bottom
D58,357.5075,-152.0,90.0,bottom
D59,69.5075,-171.19,90.0,bottom
D6,166.5075,-93.19,90.0,bottom
D60,90.5075,-171.19,90.0,bottom
D61,109.5075,-171.19,90.0,bottom
D62,128.5075,-171.19,90.0,bottom
D63,147.5075,-171.19,90.0,bottom
D64,166.5075,-171.19,90.0,bottom
D65,185.5075,-171.19,90.0,bottom
D66,204.5075,-171.19,90.0,bottom
D67,223.5075,-171.19,90.0,bottom
D68,242.5075,-171.19,90.0,bottom
D69,261.5075,-171.19,90.0,bottom
D7,185.5075,-93.19,90.0,bottom
D70,281.5075,-171.19,90.0,bottom
D71,310.5075,-171.81,90.0,bottom
D72,338.5075,-174.81,90.0,bottom
D73,357.5075,-192.81,90.0,bottom
D74,71.5075,-192.81,90.0,bottom
D75,95.5075,-192.81,90.0,bottom
D76,119.5075,-192.81,90.0,bottom
D77,239.5075,-192.81,90.0,bottom
D78,258.5075,-192.81,90.0,bottom
D79,278.5075,-192.81,90.0,bottom
D8,204.5075,-93.19,90.0,bottom
D80,297.5075,-192.81,90.0,bottom
D81,318.5075,-192.81,90.0,bottom
D82,337.5075,-192.81,90.0,bottom
D9,224.5075,-93.19,90.0,bottom
H1,308.5075,-99.0,0.0,top
H10,229.0,-139.0,0.0,top
H2,70.5075,-160.0,0.0,top
H3,309.5075,-160.0,0.0,top
H4,70.5075,-99.0,0.0,top
H5,386.5075,-79.0,0.0,top
H6,47.5,-193.0,0.0,top
H7,386.5075,-193.0,0.0,top
H8,47.5,-77.5,0.0,top
H9,152.8,-139.0,0.0,top
J1,390.5075,-89.27,180.0,top
J2,387.23,-158.0,90.0,bottom
J3,387.23,-184.5,90.0,bottom
LD1,288.0,-192.5,0.0,bottom
LD10,99.725,-173.25,180.0,bottom
LD11,119.0,-173.25,180.0,bottom
LD12,137.725,-173.25,180.0,bottom
LD13,157.0,-173.25,180.0,bottom
LD14,176.5,-173.25,180.0,bottom
LD15,195.0,-173.25,180.0,bottom
LD16,214.0,-173.25,180.0,bottom
LD17,233.0,-173.25,180.0,bottom
LD18,252.225,-173.25,180.0,bottom
LD19,271.0,-173.25,180.0,bottom
LD2,269.0,-192.5,0.0,bottom
LD20,295.725,-173.25,180.0,bottom
LD21,318.775,-145.75,0.0,bottom
LD22,295.5,-153.5,0.0,bottom
LD23,276.775,-153.75,0.0,bottom
LD24,258.0,-153.75,0.0,bottom
LD25,238.275,-153.75,0.0,bottom
LD26,219.275,-153.75,0.0,bottom
LD27,200.275,-153.75,0.0,bottom
LD28,181.275,-153.75,0.0,bottom
LD29,162.275,-153.75,0.0,bottom
LD3,249.5,-193.0,0.0,bottom
LD30,143.275,-153.75,0.0,bottom
LD31,123.775,-153.75,0.0,bottom
LD32,105.0,-153.75,0.0,bottom
LD33,85.775,-153.5,0.0,bottom
LD34,61.775,-154.25,0.0,bottom
LD35,59.275,-134.5,180.0,bottom
LD36,80.725,-134.75,180.0,bottom
LD37,99.725,-134.75,180.0,bottom
LD38,119.275,-134.75,180.0,bottom
LD39,137.725,-134.75,180.0,bottom
LD4,179.5,-193.0,0.0,bottom
LD40,157.0,-134.75,180.0,bottom
LD41,176.0,-134.5,180.0,bottom
LD42,195.0,-134.5,180.0,bottom
LD43,214.225,-134.25,180.0,bottom
LD44,233.0,-134.5,180.0,bottom
LD45,252.225,-134.75,180.0,bottom
LD46,271.225,-134.75,180.0,bottom
LD47,291.0,-134.5,180.0,bottom
LD48,314.275,-116.75,0.0,bottom
LD49,285.775,-115.75,0.0,bottom
LD5,107.275,-193.25,0.0,bottom
LD50,266.0,-115.5,0.0,bottom
LD51,247.275,-115.75,0.0,bottom
LD52,228.0,-115.5,0.0,bottom
LD53,209.275,-115.75,0.0,bottom
LD54,190.0,-115.75,0.0,bottom
LD55,171.0,-115.75,0.0,bottom
LD56,151.775,-115.75,0.0,bottom
LD57,133.0,-115.5,0.0,bottom
LD58,113.775,-115.5,0.0,bottom
LD59,94.775,-115.75,0.0,bottom
LD6,83.775,-193.25,0.0,bottom
LD60,76.0,-115.5,0.0,bottom
LD61,56.5,-116.0,0.0,bottom
LD7,59.275,-193.0,0.0,bottom
LD8,59.275,-173.25,180.0,bottom
LD9,81.0,-173.0,180.0,bottom
R1,315.0,-169.5,270.0,bottom
R2,386.5075,-101.5,180.0,bottom
R3,386.5075,-97.5,180.0,bottom
R4,384.5,-146.5,270.0,bottom
R5,381.0,-147.0,90.0,bottom
R6,377.0,-185.5,90.0,bottom
R7,373.6,-183.01,90.0,bottom
ST1,179.5,-186.83995,0.0,top
ST2,313.80625,-110.598878,0.0,top
ST3,319.517922,-138.397332,90.0,top
SW1,56.6275,-88.15,0.0,top
SW10,236.9675,-88.15,0.0,top
SW11,256.0175,-88.15,0.0,top
SW12,275.0675,-88.15,0.0,top
SW13,294.1175,-88.15,0.0,top
SW14,319.4275,-88.15,0.0,top
SW15,56.6275,-109.74,0.0,top
SW16,75.6775,-109.74,0.0,top
SW17,94.7275,-109.74,0.0,top
SW18,113.7775,-109.74,0.0,top
SW19,132.8275,-109.74,0.0,top
SW2,78.2175,-88.15,0.0,top
SW20,151.8775,-109.74,0.0,top
SW21,170.9275,-109.74,0.0,top
SW22,189.9775,-109.74,0.0,top
SW23,209.0275,-109.74,0.0,top
SW24,228.0775,-109.74,0.0,top
SW25,247.1275,-109.74,0.0,top
SW26,266.1775,-109.74,0.0,top
SW27,285.2275,-109.74,0.0,top
SW28,313.8125,-109.74,0.0,top
SW29,347.4575,-109.74,0.0,top
SW3,97.2675,-88.15,0.0,top
SW30,59.1675,-128.83,0.0,top
SW31,80.7575,-128.79,0.0,top
SW32,99.8075,-128.79,0.0,top
SW33,118.8575,-128.79,0.0,top
SW34,137.9075,-128.79,0.0,top
SW35,156.9575,-128.79,0.0,top
SW36,176.0075,-128.79,0.0,top
SW37,195.0575,-128.79,0.0,top
SW38,214.1075,-128.79,0.0,top
SW39,233.1575,-128.79,0.0,top
SW4,116.3175,-88.15,0.0,top
SW40,252.2075,-128.79,0.0,top
SW41,271.2575,-128.79,0.0,top
SW42,290.3075,-128.79,0.0,top
SW43,318.6655,-138.4,0.0,top
SW44,347.4575,-128.79,0.0,top
SW45,61.7075,-147.84,0.0,top
SW46,85.8375,-147.84,0.0,top
SW47,104.8875,-147.84,0.0,top
SW48,123.9375,-147.84,0.0,top
SW49,142.9875,-147.84,0.0,top
SW5,135.3675,-88.15,0.0,top
SW50,162.0375,-147.84,0.0,top
SW51,181.0875,-147.84,0.0,top
SW52,200.1375,-147.84,0.0,top
SW53,219.1875,-147.84,0.0,top
SW54,238.2375,-147.84,0.0,top
SW55,257.2875,-147.84,0.0,top
SW56,276.3375,-147.84,0.0,top
SW57,295.3875,-147.84,0.0,top
SW58,347.4575,-147.84,0.0,top
SW59,59.1675,-166.89,0.0,top
SW6,156.9575,-88.15,0.0,top
SW60,80.7575,-166.89,0.0,top
SW61,99.8075,-166.89,0.0,top
SW62,118.8575,-166.89,0.0,top
SW63,137.9075,-166.89,0.0,top
SW64,156.9575,-166.89,0.0,top
SW65,176.0075,-166.89,0.0,top
SW66,195.0575,-166.89,0.0,top
SW67,214.1075,-166.89,0.0,top
SW68,233.1575,-166.89,0.0,top
SW69,252.2075,-166.89,0.0,top
SW7,176.0075,-88.15,0.0,top
SW70,271.2575,-166.89,0.0,top
SW71,295.3875,-166.89,0.0,top
SW72,328.4075,-169.43,0.0,top
SW73,347.4575,-188.48,0.0,top
SW74,59.1675,-185.94,0.0,top
SW75,83.4275,-185.94,0.0,top
SW76,107.4275,-186.0,0.0,top
SW77,179.4275,-186.0,0.0,top
SW78,249.4275,-185.94,0.0,top
SW79,268.7175,-185.94,0.0,top
SW8,195.0575,-88.15,0.0,top
SW80,287.7675,-185.94,0.0,top
SW81,309.3575,-188.48,0.0,top
SW82,328.4075,-188.48,0.0,top
SW85,341.5,-88.0,90.0,top
SW9,214.1075,-88.15,0.0,top
TP1,389.5075,-137.45,0.0,bottom
TP2,389.5075,-142.0,0.0,bottom
TP3,389.0,-126.95,0.0,top
TP4,389.0,-131.0,0.0,top
U2,374.5075,-122.89,180.0,bottom
U3,366.69,-167.61,0.0,bottom
